year,w,cv.w,h.b,cv.hb,x4,x5,x6
1986,7037.065657,0.229363142,5346,0.2,48,47,4
1987,10257.416,0.193833931,9284,0.2,5,93,2
1988,1818.658693,0.777252605,2637,0.2,41,57,2
1989,14198.1495,0.042005362,7425,0.2,24,69,7
1990,18308.69895,0.185335952,4065,0.2,43,54,3
1991,1917.949962,0.960312361,NA,0.9,0,0,0
1992,10299.10864,0.200288618,10026,0.2,40,57,3
1993,NA,0.9,18401,0.2,0,0,0
1994,NA,0.9,1515,0.2,0,0,0
1995,8201.462675,0.063488096,8117,0.2,43,47,11
1996,12081.97147,0.077936494,6941,0.2,13,87,0
1997,5837.76991,0.128134804,3134,0.2,50,49,1
1998,13858.29521,0.188772008,1396,0.2,52,48,0
1999,11060.25427,0.181780428,1547,0.2,39,60,1
2000,8010.662238,0.162118207,9841,0.2,47,53,0
2001,9349.344588,0.087133864,13314,0.2,40,59,0
2002,5071,0.05,6841,0.2,59,41,0
2003,7014,0.05,14579,0.2,16,84,0
2004,7813,0.05,11982,0.2,27,72,0
2005,7549,0.05,8711,0.2,29,69,2
2006,4165,0.05,8185,0.2,41,58,1
2007,3099,0.05,3271,0.2,22,74,4
2008,1763,0.05,5732,0.2,23,77,0
2009,3689,0.05,5492,0.2,29,70,0
2010,5640,0.05,7694,0.2,22,77,1
2011,4777,0.05,2684,0.2,35,62,3
2012,5681,0.05,3771.039539,0.2,0,0,0
2013,6426,0.05,4348.915294,0.2,0,0,0
2014,5062,0.05,3588.749028,0.2,56,43,1
2015,4888,0.05,1438.543055,0.2,53,47,0
2016,5538,0.05,5179.845063,0.2,74,25,1
2017,3435,0.05,2083.797809,0.2,18,82,1
2018,4244,0.05,2921.253644,0.2,90,10,0
2019,6447,0.05,1521.450924,0.2,65,35,0
