"","year","age","age_comp","p","q","Nya"
"1",1977,"Age 5",NA,0.601184896113671,NA,NA
"4",1978,"Age 5",NA,0.596041412595285,NA,NA
"7",1979,"Age 5",NA,0.580119425017411,NA,NA
"10",1980,"Age 5",NA,0.596696320299123,NA,NA
"13",1981,"Age 5",NA,0.561586239845506,NA,NA
"16",1982,"Age 5",NA,0.723021384424902,NA,NA
"19",1983,"Age 5",NA,0.646037067445107,0.371523849028781,67748.7538446961
"22",1984,"Age 5",NA,0.762360269570821,0.81390032262848,245367.77776838
"25",1985,"Age 5",NA,0.654540206973166,0.582850925702414,30875.8170186955
"28",1986,"Age 5",0.474747474747475,0.509361674623119,0.473781908936505,6551.39426162049
"31",1987,"Age 5",0.93,0.632907431896313,0.895881495259008,18175.5055800508
"34",1988,"Age 5",0.57,0.631975049229949,0.555896049332983,5258.37369117309
"37",1989,"Age 5",0.69,0.472808849741189,0.686075869922082,14661.0004365468
"40",1990,"Age 5",0.54,0.663675675832681,0.541406671202078,11262.7930605133
"43",1991,"Age 5",NA,0.690106664802373,0.604882050916155,10720.0730634684
"46",1992,"Age 5",0.57,0.618548233113328,0.565568856923762,11268.6793087584
"49",1993,"Age 5",NA,0.58514931164461,0.61632823465157,15300.5999117163
"52",1994,"Age 5",NA,0.51416778592329,0.669184739525546,9655.16216078117
"55",1995,"Age 5",0.465346534653465,0.650802789260608,0.46552314225233,7599.18328478482
"58",1996,"Age 5",0.87,0.613863198606293,0.850751750013288,16183.9732589186
"61",1997,"Age 5",0.49,0.380940083245155,0.494971735318092,4515.55045655006
"64",1998,"Age 5",0.48,0.704805717419702,0.483861999321092,6629.65845047682
"67",1999,"Age 5",0.6,0.762390222169323,0.597975450813863,7510.59845350451
"70",2000,"Age 5",0.53,0.658913948208475,0.532033533569744,9274.89455650107
"73",2001,"Age 5",0.595959595959596,0.579081877355371,0.605900002617623,12929.5950307124
"76",2002,"Age 5",0.41,0.507072371749176,0.417241292719252,5147.25653515776
"79",2003,"Age 5",0.84,0.767632894349763,0.810578500346798,17401.5545998182
"82",2004,"Age 5",0.727272727272727,0.75951844078495,0.709291205958414,13787.6719787086
"85",2005,"Age 5",0.69,0.745038105184117,0.686859881792408,11015.1181569732
"88",2006,"Age 5",0.58,0.599358088623494,0.584625813595903,6795.39324215959
"91",2007,"Age 5",0.74,0.649983069383719,0.716970833243442,4813.29018012939
"94",2008,"Age 5",0.77,0.630207023340309,0.743391459680412,5609.66248005167
"97",2009,"Age 5",0.707070707070707,0.495005460267504,0.677536381811213,6528.48983654758
"100",2010,"Age 5",0.77,0.396269811807345,0.755421578272994,9628.77813498707
"103",2011,"Age 5",0.62,0.468596844698116,0.618380319296045,4689.00053691879
"106",2012,"Age 5",NA,0.38313284876796,0.595124274294775,5617.05618151188
"109",2013,"Age 5",NA,0.490153025959855,0.581460600110015,6120.03974621121
"112",2014,"Age 5",0.43,0.326316966259867,0.44666836374717,3882.93489889581
"115",2015,"Age 5",0.47,0.591057341030598,0.486061449639996,3165.86889216746
"118",2016,"Age 5",0.25,NA,0.284185165180548,3006.67642753551
"121",2017,"Age 5",0.811881188118812,NA,0.799835673994723,4635.41843928121
"124",2018,"Age 5",0.1,NA,0.146595492667667,1067.5945214907
"127",2019,"Age 5",0.35,NA,0.380882623848102,3106.17691131523
"2",1977,"Ages 2-4",NA,0.378980102810902,NA,NA
"5",1978,"Ages 2-4",NA,0.383527104391013,NA,NA
"8",1979,"Ages 2-4",NA,0.387570233884648,NA,NA
"11",1980,"Ages 2-4",NA,0.376226605264193,NA,NA
"14",1981,"Ages 2-4",NA,0.402984397346097,NA,NA
"17",1982,"Ages 2-4",NA,0.268587938226719,NA,NA
"20",1983,"Ages 2-4",NA,0.210007442719889,0.613131883750352,154558.843184791
"23",1984,"Ages 2-4",NA,0.206539810536173,0.170251730564789,16754.5965562099
"26",1985,"Ages 2-4",NA,0.324747153732157,0.215462598303227,5107.80356301397
"29",1986,"Ages 2-4",0.484848484848485,0.459189377516923,0.486458587781649,6726.86706095924
"32",1987,"Ages 2-4",0.05,0.335859469863788,0.0839502029045979,1691.26117897641
"35",1988,"Ages 2-4",0.41,0.351048879805762,0.422125071651252,4006.99069930291
"38",1989,"Ages 2-4",0.24,0.43947084490175,0.259407756666468,5542.17503119465
"41",1990,"Ages 2-4",0.43,0.331631440168833,0.42965085646978,8934.40808424687
"44",1991,"Ages 2-4",NA,0.304991428150613,0.37357573104197,6514.36790654268
"47",1992,"Ages 2-4",0.4,0.375848938444266,0.403983027599326,8066.19613056083
"50",1993,"Ages 2-4",NA,0.399804007659246,0.358530228200368,8890.37309211795
"53",1994,"Ages 2-4",NA,0.48090784429918,0.298721575519478,4134.90266665971
"56",1995,"Ages 2-4",0.425742574257426,0.343583324358323,0.438707769420981,7156.01823082774
"59",1996,"Ages 2-4",0.13,0.384119796806418,0.146463784983781,2779.4931800075
"62",1997,"Ages 2-4",0.5,0.613382579321987,0.492315864068978,4486.39286808544
"65",1998,"Ages 2-4",0.52,0.292447812347466,0.513153539684923,7028.61842902495
"68",1999,"Ages 2-4",0.39,0.219179298081023,0.388661084533132,4882.78227268055
"71",2000,"Ages 2-4",0.47,0.332857358403631,0.463799514618079,8067.72096279375
"74",2001,"Ages 2-4",0.404040404040404,0.399146526487017,0.390391063040929,8310.27183748176
"77",2002,"Ages 2-4",0.59,0.490734818446367,0.579231671305266,7141.46838723899
"80",2003,"Ages 2-4",0.16,0.226872841597741,0.185932107575318,3976.84359912786
"83",2004,"Ages 2-4",0.272727272727273,0.223043676608379,0.287248335036268,5567.68446122064
"86",2005,"Ages 2-4",0.29,0.237372315146354,0.292304672429526,4685.50350245262
"89",2006,"Ages 2-4",0.41,0.376634921970238,0.403385046630842,4690.64456250752
"92",2007,"Ages 2-4",0.22,0.327057637269664,0.245229920457099,1649.69835068673
"95",2008,"Ages 2-4",0.23,0.358453733723189,0.253862361498457,1913.72739127458
"98",2009,"Ages 2-4",0.292929292929293,0.500932383864087,0.318304057239213,3063.93576759436
"101",2010,"Ages 2-4",0.22,0.587666189487597,0.232579323171384,2961.36858033702
"104",2011,"Ages 2-4",0.35,0.520217904350948,0.351610556819974,2662.69525238765
"107",2012,"Ages 2-4",NA,0.614353843262475,0.384598961982131,3587.71665176699
"110",2013,"Ages 2-4",NA,0.500038311256356,0.399505704330956,4175.92774944764
"113",2014,"Ages 2-4",0.56,0.651184310140052,0.541324347367267,4705.3162432787
"116",2015,"Ages 2-4",0.53,0.383678972942666,0.509195191712568,3314.23453261855
"119",2016,"Ages 2-4",0.74,NA,0.703927292689067,7451.9869514187
