"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0.000333333333333333,0.000333333333333333,1,1,0,0.000333333333333333,1,100
0,0,0.000333333333333333,0.000333333333333333,1,1,0,0.000333333333333333,1,200
0,0,0.000333333333333333,0.000333333333333333,1,1,0,0.000333333333333333,1,300
0,0,0.000333333333333333,0.000666666666666667,1,1,0,0.000666666666666667,1,400
0,0,0.000666666666666667,0.001,1,1,0,0.001,1,500
0,0,0.001,0.001,1,1,0,0.00133333333333333,1,600
0,0,0.001,0.00133333333333333,1,1,0,0.00133333333333333,1,700
0,0,0.00133333333333333,0.00133333333333333,1,1,0,0.002,1,800
0,0,0.00133333333333333,0.002,1,1,0,0.00266666666666667,1,900
0,0,0.002,0.002,1,1,0.000333333333333333,0.004,0.999666666666667,1000
0,0,0.002,0.00266666666666667,1,1,0.000333333333333333,0.00566666666666667,0.999666666666667,1100
0,0,0.00266666666666667,0.004,1,1,0.000333333333333333,0.00833333333333333,0.999666666666667,1200
0,0.000333333333333333,0.003,0.00533333333333333,1,0.999666666666667,0.000666666666666667,0.0136666666666667,0.999333333333333,1300
0,0.000333333333333333,0.00366666666666667,0.008,1,0.999666666666667,0.003,0.021,0.997,1400
0,0.000333333333333333,0.00533333333333333,0.0103333333333333,1,0.999666666666667,0.0103333333333333,0.0263333333333333,0.989666666666667,1500
0.000333333333333333,0.000666666666666667,0.00633333333333333,0.016,0.999666666666667,0.999333333333333,0.02,0.0393333333333333,0.98,1600
0.000333333333333333,0.002,0.00833333333333333,0.0216666666666667,0.999666666666667,0.998,0.0453333333333333,0.0563333333333333,0.954666666666667,1700
0.000333333333333333,0.006,0.012,0.0263333333333333,0.999666666666667,0.994,0.0783333333333333,0.071,0.921666666666667,1800
0.000333333333333333,0.0123333333333333,0.0156666666666667,0.037,0.999666666666667,0.987666666666667,0.117666666666667,0.093,0.882333333333333,1900
0.000666666666666667,0.0203333333333333,0.0196666666666667,0.047,0.999333333333333,0.979666666666667,0.162333333333333,0.112666666666667,0.837666666666667,2000
0.001,0.0403333333333333,0.024,0.061,0.999,0.959666666666667,0.217666666666667,0.138666666666667,0.782333333333333,2100
0.00233333333333333,0.068,0.0283333333333333,0.0743333333333333,0.997666666666667,0.932,0.271,0.162666666666667,0.729,2200
0.006,0.0963333333333333,0.0376666666666667,0.0923333333333333,0.994,0.903666666666667,0.329333333333333,0.188333333333333,0.670666666666667,2300
0.0116666666666667,0.131,0.0473333333333333,0.109333333333333,0.988333333333333,0.869,0.389,0.213666666666667,0.611,2400
0.017,0.165333333333333,0.058,0.128333333333333,0.983,0.834666666666667,0.447666666666667,0.240666666666667,0.552333333333333,2500
0.0273333333333333,0.212333333333333,0.0693333333333333,0.145333333333333,0.972666666666667,0.787666666666667,0.503333333333333,0.264666666666667,0.496666666666667,2600
0.0463333333333333,0.255333333333333,0.0796666666666667,0.167,0.953666666666667,0.744666666666667,0.547666666666667,0.293333333333333,0.452333333333333,2700
0.071,0.301,0.095,0.190666666666667,0.929,0.699,0.596333333333333,0.316666666666667,0.403666666666667,2800
0.0926666666666667,0.350333333333333,0.108,0.207,0.907333333333333,0.649666666666667,0.639333333333333,0.345666666666667,0.360666666666667,2900
0.118333333333333,0.397666666666667,0.123666666666667,0.229333333333333,0.881666666666667,0.602333333333333,0.672,0.372333333333333,0.328,3000
0.145333333333333,0.445666666666667,0.138666666666667,0.257,0.854666666666667,0.554333333333333,0.706666666666667,0.401333333333333,0.293333333333333,3100
0.175666666666667,0.493,0.151,0.273333333333333,0.824333333333333,0.507,0.737,0.431333333333333,0.263,3200
0.215333333333333,0.526666666666667,0.173,0.295,0.784333333333333,0.473333333333333,0.760666666666667,0.461,0.239333333333333,3300
0.250666666666667,0.567666666666667,0.19,0.314,0.749,0.432333333333333,0.781333333333333,0.486666666666667,0.218666666666667,3400
0.284333333333333,0.603333333333333,0.204,0.335666666666667,0.715333333333333,0.396666666666667,0.812,0.51,0.188,3500
0.325,0.640333333333333,0.222,0.359,0.674666666666667,0.359666666666667,0.831666666666667,0.533333333333333,0.168333333333333,3600
0.361333333333333,0.665,0.242,0.379333333333333,0.638333333333333,0.334666666666667,0.845666666666667,0.558666666666667,0.154333333333333,3700
0.399666666666667,0.693333333333333,0.261333333333333,0.405666666666667,0.6,0.306333333333333,0.86,0.581333333333333,0.14,3800
0.44,0.722,0.275,0.428333333333333,0.559666666666667,0.277666666666667,0.875,0.604666666666667,0.125,3900
0.476,0.746,0.293,0.452666666666667,0.523666666666667,0.253666666666667,0.885666666666667,0.625666666666667,0.114,4000
0.509666666666667,0.764666666666667,0.307,0.478,0.49,0.235,0.892,0.645,0.107666666666667,4100
0.538,0.78,0.325,0.495666666666667,0.461666666666667,0.219666666666667,0.9,0.657333333333333,0.0996666666666667,4200
0.569333333333333,0.803333333333333,0.342,0.515666666666667,0.43,0.196333333333333,0.905,0.674,0.0946666666666667,4300
0.601,0.822333333333333,0.361,0.532,0.398333333333333,0.177333333333333,0.910333333333333,0.686666666666667,0.0893333333333333,4400
0.628,0.835333333333333,0.378,0.554,0.371333333333333,0.164333333333333,0.915666666666667,0.701333333333333,0.084,4500
0.65,0.847666666666667,0.401666666666667,0.571333333333333,0.349333333333333,0.152,0.918666666666667,0.716,0.081,4600
0.671666666666667,0.859,0.420333333333333,0.593333333333333,0.327333333333333,0.140666666666667,0.925,0.727666666666667,0.0746666666666667,4700
0.695666666666667,0.872333333333333,0.435,0.609666666666667,0.303333333333333,0.127333333333333,0.932333333333333,0.736333333333333,0.0673333333333333,4800
0.718666666666667,0.881333333333333,0.455,0.625666666666667,0.28,0.118,0.936,0.749666666666667,0.0636666666666667,4900
0.735666666666667,0.888333333333333,0.476,0.644666666666667,0.262,0.111,0.940333333333333,0.760666666666667,0.0593333333333333,5000
0.753,0.894,0.494666666666667,0.653666666666667,0.243666666666667,0.105333333333333,0.944666666666667,0.771,0.055,5100
0.766333333333333,0.899666666666667,0.508,0.668666666666667,0.228666666666667,0.0996666666666667,0.948666666666667,0.782,0.051,5200
0.772,0.903333333333333,0.522333333333333,0.679333333333333,0.219666666666667,0.0956666666666667,0.951,0.793,0.0486666666666667,5300
0.790333333333333,0.907666666666667,0.538333333333333,0.689333333333333,0.198333333333333,0.0913333333333333,0.953333333333333,0.802666666666667,0.046,5400
0.804666666666667,0.912666666666667,0.553666666666667,0.702666666666667,0.182666666666667,0.0863333333333333,0.955333333333333,0.813666666666667,0.044,5500
0.814333333333333,0.916333333333333,0.569666666666667,0.714333333333333,0.169666666666667,0.0826666666666667,0.956333333333333,0.822666666666667,0.043,5600
0.819,0.917666666666667,0.586,0.723,0.161333333333333,0.08,0.959,0.827,0.0403333333333333,5700
0.822333333333333,0.921666666666667,0.601666666666667,0.733333333333333,0.150666666666667,0.075,0.959666666666667,0.834,0.0393333333333333,5800
0.822333333333333,0.924666666666667,0.619,0.739333333333333,0.141333333333333,0.0706666666666667,0.961333333333333,0.841666666666667,0.0376666666666667,5900
0.827333333333333,0.93,0.628666666666667,0.749,0.129,0.064,0.962666666666667,0.851,0.0363333333333333,6000
0.825,0.928,0.642333333333333,0.759333333333333,0.122333333333333,0.0623333333333333,0.964333333333333,0.855666666666667,0.0346666666666667,6100
0.820333333333333,0.929666666666667,0.652666666666667,0.767,0.115333333333333,0.0583333333333333,0.965,0.861333333333333,0.034,6200
0.815333333333333,0.932666666666667,0.661666666666667,0.775666666666667,0.11,0.055,0.964,0.866333333333333,0.033,6300
0.806666666666667,0.932333333333333,0.671,0.786,0.105666666666667,0.0513333333333333,0.964333333333333,0.874,0.032,6400
0.798,0.931,0.681666666666667,0.794333333333333,0.100333333333333,0.0493333333333333,0.964666666666667,0.878,0.0313333333333333,6500
0.789,0.925666666666667,0.691333333333333,0.803,0.0966666666666667,0.0473333333333333,0.964333333333333,0.882666666666667,0.0293333333333333,6600
0.775,0.918666666666667,0.698333333333333,0.812,0.0946666666666667,0.0453333333333333,0.962333333333333,0.886666666666667,0.029,6700
0.769,0.913333333333333,0.710333333333333,0.819,0.0903333333333333,0.044,0.961333333333333,0.889,0.028,6800
0.756666666666667,0.907666666666667,0.718,0.825333333333333,0.087,0.043,0.961666666666667,0.892666666666667,0.0263333333333333,6900
0.743666666666667,0.902,0.726333333333333,0.828333333333333,0.0836666666666667,0.0406666666666667,0.962,0.897,0.025,7000
0.728,0.894,0.732666666666667,0.835333333333333,0.0823333333333333,0.0396666666666667,0.958,0.901666666666667,0.0233333333333333,7100
0.713333333333333,0.882,0.739,0.841,0.0766666666666667,0.039,0.955,0.903666666666667,0.0223333333333333,7200
0.698,0.875,0.745,0.848333333333333,0.075,0.0373333333333333,0.949,0.907,0.022,7300
0.685333333333333,0.863,0.753666666666667,0.853,0.0716666666666667,0.0366666666666667,0.942,0.911666666666667,0.021,7400
0.667666666666667,0.851333333333333,0.763,0.856,0.0663333333333333,0.0346666666666667,0.935,0.914333333333333,0.0206666666666667,7500
0.652333333333333,0.84,0.769,0.861666666666667,0.064,0.0346666666666667,0.929,0.917333333333333,0.02,7600
0.639666666666667,0.828333333333333,0.775333333333333,0.865666666666667,0.0613333333333333,0.0336666666666667,0.923666666666667,0.92,0.0196666666666667,7700
0.622,0.816666666666667,0.784,0.871333333333333,0.057,0.0323333333333333,0.914333333333333,0.921666666666667,0.0186666666666667,7800
0.603333333333333,0.802666666666667,0.791,0.876333333333333,0.055,0.032,0.906333333333333,0.923666666666667,0.0186666666666667,7900
0.587333333333333,0.787333333333333,0.797,0.88,0.0523333333333333,0.0313333333333333,0.895666666666667,0.925333333333333,0.0176666666666667,8000
0.572666666666667,0.771333333333333,0.805,0.882333333333333,0.0503333333333333,0.0303333333333333,0.885333333333333,0.927,0.0176666666666667,8100
0.554666666666667,0.757,0.811666666666667,0.887,0.048,0.029,0.873,0.928333333333333,0.0176666666666667,8200
0.534333333333333,0.740333333333333,0.818333333333333,0.888666666666667,0.047,0.0286666666666667,0.864,0.930333333333333,0.0173333333333333,8300
0.513333333333333,0.724666666666667,0.824333333333333,0.892,0.045,0.028,0.850666666666667,0.933666666666667,0.0173333333333333,8400
0.497333333333333,0.708,0.827333333333333,0.894333333333333,0.0443333333333333,0.0263333333333333,0.838,0.936,0.017,8500
