"","variable","Mean","SD","time_series_se","2.5%","50%","97.5%","mc_error","converge"
"1","B.sum",7.79339466825912,2.04146894830764,0.0372781543002503,4.50749553161318,7.55560738092623,12.3842541746021,0.0182604561931513,"true"
"2","D.sum",11.7062720817293,3.10151477871137,0.0566241574895772,6.68288186268308,11.3265718556047,18.9076920375055,0.018256936216536,"true"
"3","N[1]",19047.6297380701,5925.56985498035,112.982946071428,12014.5767807276,17746.358793606,33223.2985355315,0.0190670178289212,"true"
"4","N[2]",19001.557682008,5529.52455291359,102.951742577286,11987.9075760722,17842.149351429,32720.8218627753,0.0186185523894707,"true"
"5","N[3]",16398.7278772697,5704.88550705143,104.587260629394,8691.53496731983,15280.9797532859,31171.3482803805,0.0183329289431174,"true"
"6","N[4]",13566.2394716705,1989.13028567217,36.8715228981889,10021.4554414521,13422.9400340387,17732.4447999072,0.0185365047044816,"true"
"7","N[5]",19729.5722545314,2605.41641951934,47.5493390931973,15060.1975915088,19576.2849854001,25141.9178375042,0.0182501878536443,"true"
"8","N[6]",9056.62648813269,2498.94428183122,45.6293862217857,5151.50309086877,8700.01722350002,14774.7880780025,0.0182594652283918,"true"
"9","N[7]",21528.5267120899,1481.92884409511,27.0606455674985,18966.1496001975,21398.2030583466,24743.653546987,0.0182604216628378,"true"
"10","N[8]",20494.8827794102,2871.18942437244,51.6581817720095,15479.9527045993,20338.0770930396,26650.3098467966,0.0179919100194166,"true"
"11","N[9]",16058.2142540813,5652.91690444486,103.235911277166,7752.64818029324,15216.6039424803,29534.7631942154,0.0182624144352789,"true"
"12","N[10]",20020.3075328325,2803.6541216783,51.1908824934098,15218.5382546875,19789.080556552,26124.1607398617,0.0182586297281087,"true"
"13","N[11]",26257.4318981992,6260.78820642302,114.327938291543,16750.8442099315,25286.0540624804,40847.1679872741,0.0182609496635349,"true"
"14","N[12]",12486.6275556445,5503.61929506434,100.497219489331,5156.00905137281,11400.7902335443,26694.3498889101,0.0182602055304692,"true"
"15","N[13]",16181.4620546566,1594.24150150876,28.4405126884423,13448.6884519739,16078.6372899478,19614.8598320104,0.0178395259824353,"true"
"16","N[14]",19005.9003115664,1633.3611300604,29.8248284717956,16091.5873788123,18876.0391231116,22422.8747825241,0.0182597883119043,"true"
"17","N[15]",9265.07914133919,981.974349121354,19.1552844686609,7497.42358356761,9223.75284739812,11368.6124703633,0.019506909203688,"true"
"18","N[16]",13848.309519273,2096.41783467037,36.4550027942674,10304.2659776074,13666.6181545658,18436.4951467892,0.0173891874946768,"true"
"19","N[17]",12588.3632818752,1837.68846952711,33.5425401626209,9309.73698610832,12451.6038269356,16542.435802634,0.0182525714879477,"true"
"20","N[18]",17759.0585824323,2144.09279661528,39.1497347096588,13956.1971508497,17637.4039478827,22196.8203403002,0.0182593471567376,"true"
"21","N[19]",21217.0496899982,2298.94393326903,39.2937080375205,17235.7335744739,21048.8115352982,26154.9951279268,0.0170920688707906,"true"
"22","N[20]",12230.9408648751,1391.21929789479,25.4007001596845,9865.0651380942,12125.6390621939,15303.3166468997,0.0182578693367187,"true"
"23","N[21]",20677.2282114854,2509.12702081725,47.9589342100596,16352.7126839827,20467.3168460831,26040.5816185069,0.0191137928897832,"true"
"24","N[22]",19028.6069102051,2083.85770644599,38.0477862362223,15444.6506072282,18860.3003736971,23600.8138216608,0.0182583417853,"true"
"25","N[23]",16019.8825944142,1639.12486307143,29.4623500948426,13178.3504824633,15887.3122756914,19610.0542846177,0.0179744391404297,"true"
"26","N[24]",11872.4011176481,1439.73419966482,26.2897238750909,9401.3258878356,11722.808401997,15021.478040673,0.0182601232096948,"true"
"27","N[25]",6585.11091673352,678.721963907881,12.6033721547682,5413.34032602022,6516.51603550701,8073.28136483388,0.0185692711080126,"true"
"28","N[26]",7347.7426331684,1025.26752691986,18.7190149097726,5546.25752360723,7292.22721922401,9546.4108682504,0.0182576882796715,"true"
"29","N[27]",9173.9767520712,1016.07439873992,18.5421214536784,7431.63855933033,9078.93425772784,11463.1872603273,0.0182487832354338,"true"
"30","N[28]",12882.1778936519,1318.6364100321,23.5465784593858,10503.2194561488,12784.2812681786,15738.5816830834,0.0178567634567384,"true"
"31","N[29]",7609.11248463773,581.436832323642,9.80855584457551,6594.18851440339,7578.66840241111,8860.19627442618,0.0168695123860262,"true"
"32","N[30]",9458.07011383607,757.871281949923,13.859223156204,8124.43744806725,9420.69471006412,11129.5301832804,0.0182870409346369,"true"
"33","N[31]",10588.3643988615,857.298308099216,15.6487260421884,9067.98231775455,10535.0907078349,12456.6408528521,0.0182535365978785,"true"
"34","N[32]",8734.86255604598,747.909324506226,14.3472927404405,7428.74366543245,8682.14508737107,10379.9186498023,0.0191831981101622,"true"
"35","N[33]",6470.90337734108,388.01119763089,7.08088280098139,5759.99963426838,6459.10360503372,7263.49894764592,0.0182491712719006,"true"
"36","N[34]",10632.4134551525,1006.73046621129,18.3862343676769,8894.17458500071,10548.2949172953,12843.4607666794,0.0182633137515658,"true"
"37","N[35]",5752.62624337046,479.400300701342,8.75120977303844,4897.6047727596,5723.28598336112,6763.32651189056,0.0182544937085684,"true"
"38","N[36]",7309.18324823802,603.30319775888,10.9843350572653,6238.78331749575,7263.59460899233,8595.20099604277,0.018206989616613,"true"
"39","N[37]",8145.3541192179,458.725502626516,8.37638500407894,7310.98271724689,8136.30931460901,9097.74223355541,0.0182601249682401,"true"
"40","N.ya[1,1]",7575.75540703655,4264.73898720884,82.9270988493538,1555.57173647377,6836.20580033256,17837.0164025769,0.0194448239618124,"true"
"41","N.ya[2,1]",7193.99231353181,4102.50421728794,73.1580527951275,1622.9442645626,6476.10925853292,16874.8921160653,0.0178325356709786,"true"
"42","N.ya[3,1]",5870.92255107266,3252.0832232718,59.3799348511873,1395.33495532238,5281.0498135628,13754.7591506886,0.0182590452871151,"true"
"43","N.ya[4,1]",6541.9656213382,1155.77443759485,20.5362422668151,4464.54096828815,6457.4998531794,8954.51872080512,0.0177683824791546,"true"
