"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
2825.4538682321,2345.85231035586,1294.1238618482,736.912647193952,647.219603319672,500
5159.69440694817,4323.87488657567,2439.07062427914,1422.34267689312,1251.11075100298,1000
7043.61428088175,5939.75688261977,3445.63019285929,2061.02176182793,1809.28336157715,1500
8568.50651140681,7279.0855429044,4303.10087975033,2645.88067999165,2337.67005497702,2000
9844.58485868059,8369.43309751481,5052.38734612196,3187.22206417586,2815.09637325679,2500
10727.3420085724,9283.0645359603,5657.36689776988,3672.64851696654,3242.68285602829,3000
11316.0235902401,9859.41805797129,6178.07391000597,4110.70040436944,3649.86822902895,3500
11786.3669087698,10348.2526573963,6582.68799250863,4468.09657919759,3969.62918592467,4000
12030.4945143654,10612.1386399856,6914.69317312037,4782.53729909287,4277.45418246767,4500
12161.3848156197,10828.5511825554,7157.1890196572,5052.82471876551,4528.5823648115,5000
12226.3778126181,10844.4844838816,7297.92715799247,5232.74088428173,4723.66598104639,5500
12136.9212926653,10804.4580792209,7329.81553687797,5344.62558302908,4855.16649768162,6000
12085.1092774599,10696.602212223,7348.08270562994,5362.6458575895,4889.69142238716,6500
11931.6440571344,10531.1765414577,7288.31859129674,5329.89636070984,4851.96926777918,7000
11718.2158223388,10348.4702855252,7182.59975931544,5238.03787847773,4647.02430911677,7500
11488.8285657299,10124.384347299,7020.81110860363,4999.37357958516,4354.65147110656,8000
11217.6569664253,9899.4894677981,6795.83923009765,4638.82668627035,3997.7654662983,8500
10991.3898185223,9656.74821111669,6530.05465328438,4199.34826306774,3549.957507908,9000
10763.3597308134,9425.45759455251,6243.76527638952,3689.89121190219,2942.83292996332,9500
10532.6375823535,9250.24899726052,5916.26515770311,3080.47715073353,2277.45578356315,10000
10271.0385676569,9066.12335462773,5555.57808186553,2475.99723194294,1534.80522167164,10500
10233.7731161306,8875.35328513634,5103.3750468237,1737.81250161131,786.078747713751,11000
9920.09677022811,8683.32497522311,4643.13053145905,1017.74012839773,-34.1170862378583,11500
9787.97122867414,8498.31286602833,4157.30978287574,244.645186039668,-880.628823691398,12000
9647.08457074084,8322.40246254881,3626.65000523514,-506.675054930554,-1688.1627847744,12500
9533.70496046347,8072.61571465589,3076.14990366754,-1303.49104066923,-2617.64325585064,13000
9411.03843557895,7862.78408224075,2522.58943410097,-2141.09727250715,-3444.59065415019,13500
9272.08790398654,7595.2915052532,1933.99245608375,-2984.49734559853,-4261.61030194422,14000
9108.6380875092,7247.38245702196,1329.76635458063,-3854.35516913061,-5130.44805115699,14500
8905.2121897591,6944.1999955683,674.325529474702,-4727.63384781042,-6022.67303742776,15000
8798.47967848278,6654.94125811479,15.0067858683142,-5601.64491320755,-6914.5938495652,15500
8698.99803137684,6371.57472179159,-656.7143353363,-6467.49689329086,-7768.96824414279,16000
8613.14395477388,6089.3669019966,-1357.12739144605,-7332.4547399726,-8626.1936430704,16500
8554.51462539825,5792.09509795152,-2057.39161237899,-8219.19921004576,-9474.49879794776,17000
8274.95498601872,5450.29989622345,-2771.36414904292,-9060.21893558837,-10298.8691091251,17500
8130.17683316532,5020.41265661163,-3471.72090420509,-9887.59236125714,-11163.7324383429,18000
8004.51072344921,4654.79502095354,-4200.50147276602,-10724.4558538667,-12019.2725530419,18500
7699.90904958578,4306.58428426314,-4935.73371361068,-11535.9386407772,-12831.5820659367,19000
7503.65534339292,3907.33763368592,-5692.92531999127,-12371.6037834071,-13603.1492969204,19500
7176.5852969537,3515.54684034524,-6441.72257732525,-13188.0569453725,-14361.0520724556,20000
6875.94101359418,3019.02879383503,-7139.32501576387,-13998.6087905495,-15170.1044709905,20500
6648.90782251017,2664.79157808327,-7890.69845656772,-14784.0014160014,-15938.2220254595,21000
6416.98223890924,2232.76366495894,-8623.56602335704,-15567.0736161914,-16687.7271411168,21500
6191.19166514214,1822.22190968206,-9372.12313090574,-16356.0675134244,-17448.9493251397,22000
5773.579069693,1396.63089374093,-10126.1435308571,-17111.9606595517,-18201.2435880195,22500
5558.69901314717,870.094998468955,-10895.1855370159,-17862.6223493976,-18941.8676741218,23000
5246.73406777477,381.245048263754,-11668.2390238725,-18605.2715608718,-19664.1145026137,23500
4822.01688123499,-132.019751563496,-12457.9478624945,-19349.6994052714,-20376.2134332106,24000
4430.31915723206,-648.419892345182,-13237.2722131207,-20074.7430992542,-21083.3774688673,24500
4010.46548882147,-1162.61467764184,-14010.2815735102,-20793.9715908631,-21794.6096674717,25000
3665.29658044643,-1668.11429350019,-14786.2775370202,-21495.9668498445,-22478.0361568199,25500
3324.96796554646,-2216.11029878012,-15515.4336904433,-22184.1548685433,-23176.3977319076,26000
2943.25574134651,-2803.98315650123,-16283.0667995072,-22868.6350066418,-23854.2658851218,26500
2566.14644285026,-3370.264917341,-17018.179169448,-23534.8908690158,-24512.7209882221,27000
2072.49696491326,-3939.37689410558,-17767.8144258276,-24211.8024716185,-25158.1513175228,27500
1500.06110418671,-4485.95330769287,-18489.9323549731,-24877.0028997313,-25802.5906590055,28000
1005.74765085978,-5090.48846326697,-19213.7878877905,-25533.1854680343,-26427.776272641,28500
571.802927520235,-5573.25152076597,-19944.5861909129,-26189.3588375231,-27060.9511309882,29000
35.2481743906161,-6241.73193967019,-20676.9390766294,-26831.4135470751,-27677.787082706,29500
-465.582259574562,-6876.10688168195,-21389.4254823924,-27479.2285941999,-28288.1289294547,30000
-954.963201808418,-7488.78578492815,-22117.5056718147,-28110.3083659326,-28892.0705057229,30500
-1507.77703976328,-8076.00273653851,-22819.7547483157,-28730.5412832787,-29490.3809365935,31000
-2070.6002597259,-8722.8431246445,-23516.0444262675,-29351.825802255,-30086.1311823974,31500
-2553.08879427437,-9295.00069599727,-24211.8911281704,-29969.1273423739,-30676.6726276621,32000
-3030.64834803034,-9873.78504338631,-24923.2975667001,-30577.4374760125,-31257.0834524037,32500
-3498.29103784196,-10472.459924631,-25623.4326531423,-31178.9224870242,-31836.3732529752,33000
-4012.04423195647,-11139.47671896,-26338.0970185981,-31778.1154709139,-32415.4593077063,33500
-4542.94620199079,-11790.8916014016,-27035.4310947422,-32373.5240529698,-32985.6757625631,34000
-5100.79690187885,-12456.244680719,-27735.8406844808,-32964.5495212749,-33551.2446644164,34500
-5610.84593756913,-13111.8513108545,-28437.5924856162,-33549.441635611,-34110.5347424748,35000
-6204.9284659315,-13775.5051866776,-29126.717593534,-34129.9197081087,-34668.845036666,35500
-6752.74356384604,-14424.7677222638,-29800.9064443465,-34706.0650636611,-35219.7268153298,36000
