"","variable","point_estimate","Upper C.I.","converge"
"1","B.sum",0.999800023643592,1.00049993607843,"true"
"2","D.sum",1.00114194199078,1.00462503251635,"true"
"3","H.B[1]",1.00101879508901,1.00214371417004,"true"
"4","H.B[2]",1.000688991668,1.00109712458686,"true"
"5","H.B[3]",1.00101251483818,1.0027753503964,"true"
"6","H.B[4]",1.00056403362177,1.00322139397925,"true"
"7","H.B[5]",1.00066323519661,1.00130708038655,"true"
"8","H.B[6]",0.999775930721048,0.999915919730001,"true"
"9","H.B[7]",1.00179028005943,1.00395859463767,"true"
"10","H.B[8]",0.999824308095573,1.00011404214999,"true"
"11","H.B[9]",1.00657768268443,1.01684313900565,"true"
"12","H.B[10]",1.00031201158503,1.0018548152853,"true"
"13","H.B[11]",1.00052228323985,1.00287700570258,"true"
"14","H.B[12]",1.00167615240871,1.00419286852401,"true"
"15","H.B[13]",0.999938966096928,1.00045444132959,"true"
"16","H.B[14]",1.00196196924566,1.00460197524167,"true"
"17","H.B[15]",1.00028971175013,1.00096247165113,"true"
"18","H.B[16]",1.00107671348965,1.00162271818559,"true"
"19","H.B[17]",0.999818009187822,0.999962243423016,"true"
"20","H.B[18]",0.999888044745374,1.00087172785927,"true"
"21","H.B[19]",1.00024560702374,1.0007442522017,"true"
"22","H.B[20]",1.00196483882007,1.00563982847495,"true"
"23","H.B[21]",0.999717156923936,0.999876730752508,"true"
"24","H.B[22]",1.00108490527249,1.00290773453899,"true"
"25","H.B[23]",1.00062882321652,1.00335308115559,"true"
"26","H.B[24]",1.00544404084623,1.01990549656036,"true"
"27","H.B[25]",1.00056137381042,1.00307475306809,"true"
"28","H.B[26]",1.00034450649457,1.00185746784615,"true"
"29","H.B[27]",1.00018114819707,1.00057488779512,"true"
"30","H.B[28]",1.00122118764591,1.00578445888706,"true"
"31","H.B[29]",1.00153673568799,1.00512658888306,"true"
"32","H.B[30]",0.999881128341058,1.00035329669573,"true"
"33","H.B[31]",1.00120075000989,1.00217538286355,"true"
"34","H.B[32]",1.00306085412304,1.00967535976129,"true"
"35","H.B[33]",0.999566748581934,0.999642974817336,"true"
"36","H.B[34]",1.00045767925041,1.00132686865221,"true"
"37","H.B[35]",1.00000248713,1.00072767030655,"true"
"38","H.B[36]",1.00007187482219,1.00057930695007,"true"
"39","H.B[37]",1.00098495353763,1.00392575662101,"true"
"40","MSY.c",1.01862951458117,1.0189245518442,"true"
"41","N[1]",1.00099830902303,1.00200375609469,"true"
"42","N[2]",1.00063297892019,1.00091727326841,"true"
"43","N[3]",1.00087721697303,1.00280030205686,"true"
"44","N[4]",1.00005747571143,1.00137562617105,"true"
"45","N[5]",1.00000540148869,1.00063159021855,"true"
"46","N[6]",0.999892310674535,1.00023218810769,"true"
"47","N[7]",1.00203634416683,1.00652017131602,"true"
"48","N[8]",1.00016495217249,1.00129412621724,"true"
"49","N[9]",1.00365938312576,1.00996372364394,"true"
"50","N[10]",0.9995199196009,0.999573355055748,"true"
"51","N[11]",1.00319916353225,1.00657573964013,"true"
"52","N[12]",1.00094600454042,1.002048842471,"true"
"53","N[13]",0.999915085601474,1.00048500176355,"true"
"54","N[14]",1.00112569549731,1.0043358505971,"true"
"55","N[15]",1.00202047547159,1.00863484627056,"true"
"56","N[16]",0.999979115360653,1.00075205416102,"true"
"57","N[17]",1.00071999136101,1.00073203312656,"true"
"58","N[18]",1.00029104237202,1.00062661701682,"true"
"59","N[19]",0.999992603329633,1.00024425398642,"true"
"60","N[20]",1.0018678627246,1.00565694442364,"true"
"61","N[21]",0.999754701409312,1.00003748149777,"true"
"62","N[22]",1.0014747131381,1.00445914074082,"true"
"63","N[23]",1.00055745078167,1.00304795399129,"true"
"64","N[24]",1.00531915540251,1.01884221336412,"true"
"65","N[25]",1.00025784278629,1.00197090960739,"true"
"66","N[26]",1.00035427125325,1.00182908655842,"true"
"67","N[27]",1.00018605982887,1.00038444132887,"true"
"68","N[28]",1.00119501381707,1.00554795818318,"true"
"69","N[29]",1.0018434664867,1.00640795639727,"true"
"70","N[30]",1.0001902491649,1.001677656546,"true"
"71","N[31]",1.00078590914769,1.00254766862909,"true"
"72","N[32]",1.00343740527778,1.01185174047582,"true"
"73","N[33]",0.999698950875927,0.999924506652968,"true"
"74","N[34]",1.00038460389729,1.00184641456476,"true"
"75","N[35]",1.00028500242572,1.00182092748681,"true"
"76","N[36]",1.00025832259553,1.00150490336149,"true"
"77","N[37]",1.00042705390639,1.00241999290197,"true"
"78","N.ya[1,1]",1.00045412465541,1.00090760167668,"true"
"79","N.ya[2,1]",1.00006138329592,1.00058627608143,"true"
"80","N.ya[3,1]",1.00171840180787,1.00304936462778,"true"
"81","N.ya[4,1]",1.00035470159339,1.00250030848465,"true"
"82","N.ya[5,1]",0.999988279065995,1.00102791235812,"true"
"83","N.ya[6,1]",1.00049576426734,1.0025012537043,"true"
"84","N.ya[7,1]",1.00036748942959,1.00117032861833,"true"
"85","N.ya[8,1]",1.00046637845443,1.00111949050587,"true"
"86","N.ya[9,1]",1.00353686202066,1.0092671818913,"true"
"87","N.ya[10,1]",0.999578761825017,0.999706800428378,"true"
"88","N.ya[11,1]",1.00068688221058,1.00281739488846,"true"
"89","N.ya[12,1]",0.99979557998244,0.999955445573875,"true"
"90","N.ya[13,1]",1.000072251459,1.00044825790258,"true"
"91","N.ya[14,1]",1.00003422355054,1.00081805386965,"true"
"92","N.ya[15,1]",1.00091742264332,1.00255888621688,"true"
"93","N.ya[16,1]",1.00069639124918,1.00308336230198,"true"
"94","N.ya[17,1]",1.00092360674493,1.00099817509745,"true"
"95","N.ya[18,1]",0.999992283291181,1.0001749713875,"true"
"96","N.ya[19,1]",1.00007781041904,1.00036275986503,"true"
"97","N.ya[20,1]",1.0014553154908,1.00346238383488,"true"
"98","N.ya[21,1]",0.999536726353157,0.999558584359021,"true"
"99","N.ya[22,1]",1.00201354125711,1.00611241173868,"true"
"100","N.ya[23,1]",1.00033647597649,1.00226266653969,"true"
"101","N.ya[24,1]",1.00141544872312,1.0056633140912,"true"
"102","N.ya[25,1]",0.999561801853127,0.99972378286586,"true"
"103","N.ya[26,1]",1.00004417192709,1.00032793396386,"true"
"104","N.ya[27,1]",1.00043989876827,1.00110436540068,"true"
"105","N.ya[28,1]",1.00097419066273,1.00322980486351,"true"
"106","N.ya[29,1]",1.00133577216648,1.0050683020951,"true"
"107","N.ya[30,1]",1.00006291488193,1.00059007365153,"true"
